ProductName,ProductDescription,ProductDimension,ProductPrice
Rose Milk Tres Leches Cake,"Rose Milk Tres Leches Cake is super moist (Ras Malai Cake) soaked in rich rose-flavored milk and topped with whipped cream. The cake is deliciously light, airy, and fluffy. Can be served as dessert.",1Kg,80
Saffron Milk Tres Leches Cake,Saffron Milk Tres Leches Cake is an air-light spongy (Ras Malai Cake) soaked in rich saffron-flavored milk and topped with whipped cream and pistachios.,1Kg,85
Chocolate Truffle Cake ,"A Chocolate Truffle Cake has dense, moist chocolate cake layers with silky smooth chocolate ganache frosting. With rich chocolate flavor, it is the perfect indulgence.",1Kg,90
Carrot Cream Cheese,"A classic Carrot Layer Cake baked with freshly grated carrot, cinnamon, and walnut, topped with cream cheese frosting. It's light in taste which makes it a perfect tea cake.",1Kg,75
Chocolate Mousse Cake,A decadent cake of moist chocolate layers and creamy chocolate mousse topped with luscious chocolate ganache,1Kg,90
Lemon Blueberry with Cream Cheese Frosting,"A mildly sweet and fluffy vanilla flavor sponge with fresh blueberries and a hint of lemon, layered with cream cheese frosting.",1Kg,95
Fruit Cake,A melt-in-mouth chiffon cake layered with fresh fruits and whipped cream.,1Kg,90
Butterscotch Cake,"Experience the timeless allure of buttery, caramelized goodness. With homemade butterscotch sauce and chips giving a classic treat to your taste buds.",1Kg,90
Chocolate Orange Cake,"Indulge in the rich and harmonious pairing of decadent chocolate and the citrusy zest of fresh oranges, creating a flavor fusion that's simply irresistible.",1Kg,90
Mango Passion Cake,Immerse yourself in the tropical symphony of ripe mangoes blended with the invigorating essence of passion fruit.,1Kg,95
